Zip Code,SizeRank,MsaName,2019 Average Rental Price,Total Occupied Housing Units %,Total Vacant Housing Units %,Vacancy Rate,Rental Vacancy Rate %,1 Unit_Detached %,Total 1Unit attached ,1 Unit_Attached %,2 Units %,3 to 4 Units %,5 to 9 units % ,15 to 19 units % ,20 or more units % ,Total population,Median age (years),Sex ratio (males per 100 females),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%),Median household income in the past 12 months (2019 inflation-adjusted $),Below the poverty level in the past 12 months (% population 20-64 years),Disability (% population 20-64 years),Labor Force Participation Rate (16+ years old),Labor Force Participation Rate (% population 20-64 years old),Employment/Population Ratio (16+ years old),Employment/Population Ratio (20-64 years old),Unemployment rate (16+ years old),White (% of population 16+),Black (% of population 16+),American Indian and Alaska Native (% of population 16+),Asian (% of population 16+),Native Hawaiian and Other Pacific Islander (% of population 16+),Other race (% of population 16+),Two or more races (% of population 16+),Hispanic (% of population 16+),White not Hispanic (% of population 16+),Less than high school graduate (% population 25-64),High school graduate (% population 25-64),Some college or associate's degree (% population 25-64),Bachelor's degree or higher (% population 25-64),Total in Labor Force (% of Sample Population),Total Not in Labor Force (% of Sample Population),Total in Labor Force and Employed (% of Sample Population),"Total in Labor Force, Employed, and With Health Insurance (% of Sample Population)","Total in Labor Force, Employed, and With Health Insurance  - Private Health Insurance  (% of Sample Population)","Total in Labor Force, Employed, and With Health Insurance  - Public Health Insurance (% of Sample Population)","Total in Labor Force, Employed, and With No Health Insurance (% of Sample Population)",Total in Labor Force and Unemployed  (% of Sample Population),"Total in Labor Force, Unemployed, and With Health Insurance (% of Sample Population)","Total in Labor Force, Unemployed, and With Health Insurance - Private Health Insurance (% of Sample Population)","Total in Labor Force, Unemployed, and With Health Insurance - Public Health Insurance (% of Sample Population) ","Total in Labor Force, Unemployed, and With No Health Insurance (% of Sample Population)",Total Not in Labor Force (% of Sample Population),Total Not in Labor Force and With Health Insurance (% of Sample Population),Total Not in Labor Force and With Health Insurance - Private Health Insurance (% of Sample Population),Total Not in Labor Force and With Health Insurance - Public Health Insurance (% of Sample Population),Total Not in Labor Force and With No Health Insurance (% of Sample Population),Total Population 18 to 24 Years Old,Less than high school graduate - Ages 18 to 24,High school graduate (includes equivalency) - Ages 18 to 24,Some college or associate's degree - Ages 18 to 24,Bachelor's degree or higher - Ages 18 to 24,Total Population 25 Years Old and Over,Less than 9th grade - Ages 25+,"9th to 12th grade, no diploma - Ages 25+",High school graduate (includes equivalency) - Ages 25+,0
11226,11,"New York, NY",1738.125,90.8,9.2,2.9,4.9,3.2,1395,3.4,8.7,5.8,5.1,7.4,66.3,99558,34.5,85.3,6.8,5.9,5.8,5.7,6.5,9.8,10.4,8,7,5.7,5.9,5.1,5.5,4.4,3,2,1.5,1.2,58257,13.62118922,5.309901738,66.4,78.5,62.6,74.2,5.7,16.65726287,68.72171024,0.247006457,3.105761394,0,9.099116043,2.169143,14.98965582,13.86621528,11.39946343,33.08492171,22.80068036,32.71493451,78.07055817,21.92944183,73.7307944,63.15641849,49.13672204,15.17281142,10.57437592,4.339763767,3.298843769,1.276217783,2.165986225,1.040919999,21.92944183,18.52775267,5.88088634,13.330944,3.401689158,78.07055817,21.92944183,73.7307944,63.15641849,49.13672204,15.17281142,10.57437592,4.339763767,3.298843769,
78660,13,"Austin, TX",1778.208333,96.6,3.4,0.8,5,77.2,698,2.2,0.6,2.5,1.8,5.7,5.1,91300,34.7,91.7,6.9,6.8,8.3,7.3,4.4,7.6,9.3,8.4,8.1,8,7.2,5.5,4.6,3.5,1.9,1.2,0.7,0.3,88204,5.338473829,8.226529124,74.7,85,71.6,81.9,4,65.81591755,15.29773833,1.0392213,8.6143716,0.134554824,5.601202405,3.496993988,30.88176353,43.95075866,8.873510045,20.97035945,31.08433285,39.07179765,84.87569892,15.12430108,81.81505376,71.72645161,70.35354839,3.072688172,10.08860215,3.060645161,2.172903226,1.942365591,0.301075269,0.887741935,15.12430108,12.2288172,9.625806452,4.115268817,2.895483871,84.87569892,15.12430108,81.81505376,71.72645161,70.35354839,3.072688172,10.08860215,3.060645161,2.172903226,
94109,14,"San Francisco, CA",2363.208333,88,12,0.3,4.5,2.2,453,1.2,3.3,7,10.3,18.1,57.8,57302,36.6,104.3,2.6,1.3,1.2,1.9,5.2,16.1,17.8,9.9,5.4,6,4.8,5.5,5.6,4.1,3.7,3,2.6,3.3,94278,10.90247086,6.540108544,73,85.9,70.1,83,3.9,59.41911467,4.745494084,0.353838782,26.96362095,0.081088054,4.249751207,4.187092256,10.76996793,54.02491615,6.178905732,8.598874776,14.30361398,70.91860551,85.64822197,14.35177803,82.80292503,79.23092694,73.85698339,6.430963392,3.571998086,2.845296945,2.505866005,1.820169943,0.742647561,0.339430941,14.35177803,13.0487277,7.050595713,6.469690412,1.303050322,85.64822197,14.35177803,82.80292503,79.23092694,73.85698339,6.430963392,3.571998086,2.845296945,2.505866005,
10016,16,"New York, NY",3349.125,83,17,1.7,7.2,0.5,237,0.7,0.4,1.6,5.9,4.2,86.6,52886,32.7,92.1,3.5,1.9,1.4,2.1,11.2,20.7,13.8,7.6,5.5,5,5,5,3.6,3.8,3.5,2.2,2,2.2,126628,8.636552212,3.616663006,76.9,86.4,74.6,83.8,3,72.64573079,3.827848513,0.256274661,20.41248017,0.050848147,0.97831835,1.828499369,7.783834357,66.25513566,1.707059462,3.542576575,7.850189832,86.90017413,85.8950826,14.1049174,83.31562168,80.30383538,79.37880398,1.652014298,3.011786301,2.579460922,2.403149454,2.028789489,0.439571056,0.176311467,14.1049174,12.98666795,9.933822819,3.555212057,1.118249444,85.8950826,14.1049174,83.31562168,80.30383538,79.37880398,1.652014298,3.011786301,2.579460922,2.403149454,
37013,17,"Nashville, TN",2593.125,93.8,6.2,1.4,6.4,53,3092,8.1,2,3.1,7.5,14.9,9.1,97939,31.7,94.8,8.7,7.6,7,6.1,6.9,9.4,10.5,8.6,6.4,6.6,5.8,5.2,4.3,3,1.9,1,0.6,0.3,59015,12.12830044,9.853242758,76.2,83.7,73.2,81.1,3.8,54.53781968,35.32726485,0.193703945,4.525628522,0,2.622453403,2.793129606,14.34357391,43.40052016,11.72507949,25.01122748,28.85910863,34.4045844,83.37994532,16.62005468,80.5612293,66.38908965,60.84750024,7.785249662,14.17213965,2.818716023,1.766018289,1.099833454,0.700751029,1.052697734,16.62005468,12.47211137,6.217201395,7.262043176,4.147943311,83.37994532,16.62005468,80.5612293,66.38908965,60.84750024,7.785249662,14.17213965,2.818716023,1.766018289,
60647,19,"Chicago, IL",1760.958333,90.4,9.6,1.1,3.6,14.5,1023,2.6,21.2,26.5,15.1,6.5,13.2,87633,32,102.7,6.7,4.4,4.3,4.3,7.6,16.3,14.3,10.1,6.8,6.3,4.4,4.1,3.3,2.7,2,1.2,0.7,0.6,78413,11.09950419,4.693005706,78.2,87.3,75.1,83.8,4,78.43609637,5.387232884,0.477746019,4.151354294,0.047638492,8.299986389,3.199945556,40.51585681,48.76139921,8.466317456,17.60611176,15.72142074,58.20615004,86.97037667,13.02962333,83.58264367,74.63376905,69.90331812,5.326011292,8.948874623,3.387733003,2.587980509,1.64436538,0.99311625,0.799752494,13.02962333,10.78505685,4.786139686,6.24487586,2.244566478,86.97037667,13.02962333,83.58264367,74.63376905,69.90331812,5.326011292,8.948874623,3.387733003,2.587980509,
11201,20,"New York, NY",2647.208333,90.9,9.1,1.7,2.6,1.3,842,2.7,4.4,7.7,8.9,8.1,66.7,63378,34.9,90.6,7,4.9,3.4,4,5.7,11.6,13.7,10.4,7.7,6.7,4.3,4.3,4.7,3.4,3,2.1,1.5,1.7,129248,11.42184751,5.330500149,72.2,82.9,68,78.6,5.8,65.4583583,13.20401438,0.19659976,13.43618933,0.061788496,3.883313361,3.759736369,11.14627022,60.02658778,3.529997511,8.439133682,8.650734379,79.38013443,82.47749775,17.52250225,78.02655266,75.47254725,72.09270927,4.51620162,2.554005401,4.450945095,4.131413141,2.04320432,2.115211521,0.319531953,17.52250225,15.39378938,11.61341134,4.53870387,2.128712871,82.47749775,17.52250225,78.02655266,75.47254725,72.09270927,4.51620162,2.554005401,4.450945095,4.131413141,
11375,22,"New York, NY",2729.666667,92,8,2,2,8.4,3065,8.7,4.3,2,2.1,1.8,72.5,73034,43,86.9,7,6,3.9,2.9,2.9,6.7,8.3,8.1,7.2,6.8,6.1,7.3,6.9,6.2,4.2,3.4,2.9,3.3,84713,7.094702319,5.281738259,64.4,82.3,61.4,78.5,4.7,61.81072283,2.873372309,0.209274515,28.84002126,0,3.524448578,2.74216051,14.93489237,51.42505979,4.041032017,10.73623299,17.02972191,68.19301308,81.81386944,18.18613056,78.02123334,74.6306754,69.20262028,6.342895866,3.39055794,3.792636097,3.117235148,1.908741812,1.208493336,0.675400949,18.18613056,16.62299526,11.48181613,5.900158121,1.563135306,81.81386944,18.18613056,78.02123334,74.6306754,69.20262028,6.342895866,3.39055794,3.792636097,3.117235148,
90250,23,"Los Angeles-Long Beach-Anaheim, CA",1934.5,95.8,4.2,0.7,2,35.1,2515,7.6,2.6,7.3,10.5,8.4,28,97072,33.5,96,8,7.3,6.5,5.9,7.4,9.1,8.4,7.4,6.9,7,6.7,5.4,4.9,3,2.6,1.4,1,0.9,56304,12.28121639,8.290146997,69.8,80.9,65.8,76.5,5.7,38.66652397,23.61542166,0.592626284,8.406464041,0.551155822,24.63345462,3.534353596,53.01262842,12.90132705,20.91680502,23.656152,32.01623317,23.41080981,80.44628073,19.55371927,76.03813321,64.6303233,52.5231902,14.48643956,11.40780991,4.408147517,3.350320724,1.414722763,2.126907062,1.057826793,19.55371927,16.28538816,7.453016736,9.700496761,3.268331109,80.44628073,19.55371927,76.03813321,64.6303233,52.5231902,14.48643956,11.40780991,4.408147517,3.350320724,
78130,24,"San Antonio, TX",1598.75,89.1,10.9,2.3,6.5,64.4,846,2.7,3.4,2.6,2.6,5.1,10.1,77400,36.2,94.8,7.4,6.6,6.8,6.1,6.2,7.5,7.9,6.8,7.3,6.4,5.4,5.7,5.4,4.9,3.6,2.4,1.5,2.1,65627,8.171412188,12.07295825,66.4,80.1,64,77.6,3.2,91.82631544,1.661345041,0.420741036,1.29548327,0,2.996740504,1.799374709,33.65429389,61.87221446,9.410662789,28.71016243,30.8915235,30.98765128,80.31613611,19.68386389,78.15367728,64.37321625,62.95499451,3.620197585,13.78046103,2.162458836,1.552140505,1.060373216,0.522502744,0.610318332,19.68386389,15.35016465,11.52799122,5.942919868,4.333699232,80.31613611,19.68386389,78.15367728,64.37321625,62.95499451,3.620197585,13.78046103,2.162458836,1.552140505,
